alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,time_period,source_sheet,sheet_type
83,Eigentümer,23057.0,7.1,52.7,2.6,,2024,SE2024,bewohnertyp
83,Andere Situation2),2761.0,20.1,6.3,1.2,,2024,SE2024,bewohnertyp
83,Total,43788.0,5.2,100.0,,,2024,SE2024,bewohnertyp
84,Mieter oder Genossenschafter,17398.0,8.1,43.6,2.6,,2024,SE2024,bewohnertyp
84,Eigentümer,19960.0,7.6,50.0,2.7,,2024,SE2024,bewohnertyp
84,Andere Situation2),2581.0,21.0,6.5,1.3,,2024,SE2024,bewohnertyp
84,Total,39940.0,5.3,100.0,,,2024,SE2024,bewohnertyp
85,Mieter oder Genossenschafter,15761.0,8.7,42.7,2.8,,2024,SE2024,bewohnertyp
85,Eigentümer,18642.0,8.1,50.5,2.9,,2024,SE2024,bewohnertyp
85,Andere Situation2),2491.0,23.4,6.8,1.5,,2024,SE2024,bewohnertyp
85,Total,36894.0,5.7,100.0,,,2024,SE2024,bewohnertyp
86,Mieter oder Genossenschafter,14899.0,9.0,47.6,3.1,,2024,SE2024,bewohnertyp
86,Eigentümer,14098.0,9.3,45.1,3.1,,2024,SE2024,bewohnertyp
86,Andere Situation2),2278.0,23.2,7.3,1.6,,2024,SE2024,bewohnertyp
86,Total,31275.0,6.2,100.0,,,2024,SE2024,bewohnertyp
87,Mieter oder Genossenschafter,12113.0,9.8,44.2,3.3,,2024,SE2024,bewohnertyp
87,Eigentümer,13192.0,9.6,48.1,3.3,,2024,SE2024,bewohnertyp
87,Andere Situation2),2128.0,24.2,7.8,1.8,,2024,SE2024,bewohnertyp
87,Total,27433.0,6.6,100.0,,,2024,SE2024,bewohnertyp
88,Mieter oder Genossenschafter,10590.0,10.4,42.6,3.4,,2024,SE2024,bewohnertyp
88,Eigentümer,12051.0,10.1,48.5,3.5,,2024,SE2024,bewohnertyp
88,Andere Situation2),2190.0,24.5,8.8,2.1,,2024,SE2024,bewohnertyp
88,Total,24831.0,6.9,100.0,,,2024,SE2024,bewohnertyp
89,Mieter oder Genossenschafter,9113.0,11.4,43.2,3.7,,2024,SE2024,bewohnertyp
89,Eigentümer,9438.0,11.3,44.8,3.8,,2024,SE2024,bewohnertyp
89,Andere Situation2),2520.0,23.0,12.0,2.6,,2024,SE2024,bewohnertyp
89,Total,21070.0,7.6,100.0,,,2024,SE2024,bewohnertyp
90,Mieter oder Genossenschafter,7807.0,12.2,49.0,4.3,,2024,SE2024,bewohnertyp
90,Eigentümer,6801.0,13.5,42.7,4.3,,2024,SE2024,bewohnertyp
90,Andere Situation2),1317.0,30.6,8.3,2.4,,2024,SE2024,bewohnertyp
90,Total,15925.0,8.7,100.0,,,2024,SE2024,bewohnertyp
91,Mieter oder Genossenschafter,5397.0,14.7,44.9,5.0,,2024,SE2024,bewohnertyp
91,Eigentümer,5679.0,14.5,47.2,5.0,,2024,SE2024,bewohnertyp
91,Andere Situation2),947.3,37.4,7.9,2.8,*****,2024,SE2024,bewohnertyp
91,Total,12022.0,10.0,100.0,,,2024,SE2024,bewohnertyp
92,Mieter oder Genossenschafter,4228.0,17.1,44.4,5.6,,2024,SE2024,bewohnertyp
92,Eigentümer,4148.0,17.2,43.6,5.6,,2024,SE2024,bewohnertyp
92,Andere Situation2),1140.0,33.1,12.0,3.7,*****,2024,SE2024,bewohnertyp
92,Total,9516.0,11.4,100.0,,,2024,SE2024,bewohnertyp
93,Mieter oder Genossenschafter,3028.0,19.1,40.2,6.1,,2024,SE2024,bewohnertyp
93,Eigentümer,3335.0,18.9,44.3,6.3,,2024,SE2024,bewohnertyp
93,Andere Situation2),1166.0,35.5,15.5,5.0,*****,2024,SE2024,bewohnertyp
