year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2019,okp_kostenbeteiligung,66 – 70,66,70,per_capita_chf,800.4413006712088,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,71 – 75,71,75,total_mio_chf,335.25497098743,CHF,mio_chf,
2019,okp_kostenbeteiligung,71 – 75,71,75,per_capita_chf,857.8392293213302,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,76 – 80,76,80,total_mio_chf,273.00491902426,CHF,mio_chf,
2019,okp_kostenbeteiligung,76 – 80,76,80,per_capita_chf,910.3077690292392,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,81 – 85,81,85,total_mio_chf,206.28817691217,CHF,mio_chf,
2019,okp_kostenbeteiligung,81 – 85,81,85,per_capita_chf,969.0132665164618,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,86 – 90,86,90,total_mio_chf,139.43911247371,CHF,mio_chf,
2019,okp_kostenbeteiligung,86 – 90,86,90,per_capita_chf,1035.0657714507001,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,91 – 95,91,95,total_mio_chf,62.87715331297,CHF,mio_chf,
2019,okp_kostenbeteiligung,91 – 95,91,95,per_capita_chf,1109.2004834575685,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,96 – 100,96,100,total_mio_chf,15.28830047233,CHF,mio_chf,
2019,okp_kostenbeteiligung,96 – 100,96,100,per_capita_chf,1175.6748666039173,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,> 100,100,100,total_mio_chf,1.48664634658,CHF,mio_chf,
2019,okp_kostenbeteiligung,> 100,100,100,per_capita_chf,1233.975202536488,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,0 – 5,0,5,total_mio_chf,640.2289058028301,CHF,mio_chf,
2019,okp_nettoleistungen,0 – 5,0,5,per_capita_chf,1320.3848395095752,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,6 – 10,6,10,total_mio_chf,400.94137084360995,CHF,mio_chf,
2019,okp_nettoleistungen,6 – 10,6,10,per_capita_chf,927.9528605078632,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,11 – 15,11,15,total_mio_chf,480.06157014086,CHF,mio_chf,
2019,okp_nettoleistungen,11 – 15,11,15,per_capita_chf,1153.3311537423692,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,16 – 18,16,18,total_mio_chf,377.21282692514,CHF,mio_chf,
2019,okp_nettoleistungen,16 – 18,16,18,per_capita_chf,1535.5159593813516,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,19 – 20,19,20,total_mio_chf,205.09972806140996,CHF,mio_chf,
2019,okp_nettoleistungen,19 – 20,19,20,per_capita_chf,1180.2630549305245,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,21 – 25,21,25,total_mio_chf,649.88617659878,CHF,mio_chf,
2019,okp_nettoleistungen,21 – 25,21,25,per_capita_chf,1371.1071152093436,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,26 – 30,26,30,total_mio_chf,944.7696570911598,CHF,mio_chf,
2019,okp_nettoleistungen,26 – 30,26,30,per_capita_chf,1646.415895169898,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,31 – 35,31,35,total_mio_chf,1189.45348470217,CHF,mio_chf,
2019,okp_nettoleistungen,31 – 35,31,35,per_capita_chf,1945.0775121861832,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,36 – 40,36,40,total_mio_chf,1222.0266910014602,CHF,mio_chf,
2019,okp_nettoleistungen,36 – 40,36,40,per_capita_chf,1998.238399453588,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,41 – 45,41,45,total_mio_chf,1230.3891969017197,CHF,mio_chf,
2019,okp_nettoleistungen,41 – 45,41,45,per_capita_chf,2105.0364734659556,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,46 – 50,46,50,total_mio_chf,1554.48961811413,CHF,mio_chf,
2019,okp_nettoleistungen,46 – 50,46,50,per_capita_chf,2509.7177452711094,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,51 – 55,51,55,total_mio_chf,2068.15452499199,CHF,mio_chf,
2019,okp_nettoleistungen,51 – 55,51,55,per_capita_chf,3100.0321673362314,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,56 – 60,56,60,total_mio_chf,2272.18858751368,CHF,mio_chf,
2019,okp_nettoleistungen,56 – 60,56,60,per_capita_chf,3755.6519761263835,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,61 – 65,61,65,total_mio_chf,2334.03278135015,CHF,mio_chf,
2019,okp_nettoleistungen,61 – 65,61,65,per_capita_chf,4703.988731523241,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,66 – 70,66,70,total_mio_chf,2538.4359627457206,CHF,mio_chf,
2019,okp_nettoleistungen,66 – 70,66,70,per_capita_chf,6023.260358592759,CHF,chf_per_capita_year,
2019,okp_nettoleistungen,71 – 75,71,75,total_mio_chf,2991.93369567207,CHF,mio_chf,
2019,okp_nettoleistungen,71 – 75,71,75,per_capita_chf,7655.660073037603,CHF,chf_per_capita_year,
