year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2016,ahv_einnahmen,45-49,45,49,sum_einkommen,50853847600.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,45-49,45,49,sum_beitrag_ahv,4271723198.4,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,50-54,50,54,n_personen,605396.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,50-54,50,54,sum_einkommen,51524422632.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,50-54,50,54,sum_beitrag_ahv,4328051501.088,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,55-59,55,59,n_personen,482076.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,55-59,55,59,sum_einkommen,40522157507.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,55-59,55,59,sum_beitrag_ahv,3403861230.588,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,60-64,60,64,n_personen,320351.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,60-64,60,64,sum_einkommen,23502929835.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,60-64,60,64,sum_beitrag_ahv,1974246106.14,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,65-69,65,69,n_personen,63045.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,65-69,65,69,sum_einkommen,3010422141.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,65-69,65,69,sum_beitrag_ahv,252875459.844,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,70-74,70,74,n_personen,15840.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,70-74,70,74,sum_einkommen,736046802.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,70-74,70,74,sum_beitrag_ahv,61827931.368,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,75+,75,100,n_personen,7337.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,75+,75,100,sum_einkommen,346898167.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,75+,75,100,sum_beitrag_ahv,29139446.028,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,<20,0,19,n_personen,141388.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,<20,0,19,sum_einkommen,1782338044.0,CHF,chf,nur_arbeitnehmende
